Lugar;Especie;sexo;MC;1/2 Envergadura;Àrea alar cm2;Envergadura;Carga alar;Aspect ratio
4;G. crenulatum;M;13,5;18,3;209,6;36,6;0,064408397;6,391030534
4;G. crenulatum;M;13;17,8;204,8;35,6;0,063476563;6,18828125
4;G. crenulatum;H;12,7;18,5;210,8;37;0,060246679;6,4943074
4;G. crenulatum;M;11,7;17,1;195,2;34,2;0,059938525;5,992008197
1;G. soricina;H;10;12,6;93,4;25,2;0,107066381;6,799143469
3;G. soricina;H;8,2;12,1;84;24,2;0,097619048;6,971904762
4;G. soricina;H;8,9;12,5;93,2;25;0,095493562;6,706008584
1;G. soricina;M;8,5;12,4;95,6;24,8;0,088912134;6,433472803
5;L. brasiliense;M;10,5;13,4;131,6;26,8;0,079787234;5,45775076
5;M. macconnelli;H;7,8;11,6;86,2;23,2;0,090487239;6,244083527
3;M. macconnelli;M;7;11,6;88,4;23,2;0,07918552;6,088687783
5;Mycronicteris sp.;;NA;NA;NA;NA;NA;NA
3;Mycronicteris sp.;H;6,4;11;83;22;0,077108434;5,831325301
3;Mycronicteris sp.;H;6,7;11,9;95,8;23,8;0,06993737;5,912734864
2;P. discolor;H;35;NA;NA;NA;NA;NA
2;P. discolor;H;39;NA;NA;NA;NA;NA
2;P. discolor;M;40;NA;NA;NA;NA;NA
2;P. discolor;M;44;NA;NA;NA;NA;NA
2;P. discolor;;44,4;NA;NA;NA;NA;NA
2;P. discolor;H;NA;NA;NA;NA;NA;NA
2;P. discolor;M;47,5;20,3;249,8;40,6;0,190152122;6,598718975
2;P. discolor;M;38,3;21,2;228,1;42,4;0,167908812;7,881455502
4;P. discolor;M;41;21,6;249;43,2;0,164658635;7,494939759
4;P. discolor;H;36;19,5;238,8;39;0,150753769;6,369346734
4;P. discolor;H;33,2;20,3;230;40,6;0,144347826;7,166782609
2;P. discolor;H;36;21,5;251,6;43;0,143084261;7,348966614
4;P. discolor;H;35,3;20;247,4;40;0,142683913;6,467259499
4;P. discolor;H;33;20,6;237,2;41,2;0,139123103;7,156155143
1;P. discolor;H;34,7;20,6;250,4;41,2;0,138578275;6,778913738
1;P. discolor;M;37;22,1;267,2;44,2;0,138473054;7,311526946
5;P. discolor;M;40,1;22,9;297,4;45,8;0,134835239;7,053261601
2;P. discolor;M;36;21,5;273,6;43;0,131578947;6,758040936
1;P. discolor;M;34,15;22,4;276,6;44,8;0,123463485;7,256109906
4;P. discolor;M;31;20,4;261,2;40,8;0,118683002;6,373047473
5;P. elongatus;M;44,9;21,6;285,8;43,2;0,157102869;6,529881036
5;P. elongatus;M;42,6;19,7;276;39,4;0,154347826;5,624492754
3;P. elongatus;H;55,1;24,7;361,2;49,4;0,152547065;6,756256921
3;P. elongatus;H;48,9;23,3;325,2;46,6;0,150369004;6,677613776
3;P. elongatus;H;43;22,4;297,2;44,8;0,144683715;6,753162853
4;P. elongatus;M;43;22,2;298,8;44,4;0,143908969;6,597590361
3;P. elongatus;H;42,5;22,5;296,8;45;0,14319407;6,82277628
3;P. elongatus;M;49,2;24,3;355,6;48,6;0,138357705;6,642182227
5;P. elongatus;M;42,7;22,1;313,4;44,2;0,136247607;6,233694959
3;P. elongatus;H;43,4;23,5;324,2;47;0,133867983;6,81369525
5;P. elongatus;H;41;22,7;322,4;45,4;0,127171216;6,393176179
5;P. elongatus;H;40,9;23,05;322,6;46,1;0,126782393;6,587755735
3;P. elongatus;M;37,8;23,9;311,2;47,8;0,121465296;7,342030848
3;P. elongatus;M;36,6;22,5;310,2;45;0,117988395;6,528046422
5;P. hastatus;H;95,1;28,3;419,4;56,6;0,226752504;7,638435861
4;P. hastatus;M;91,2;25,7;418,6;51,4;0,217869087;6,311419016
4;P. hastatus;M;83,5;28,4;456,8;56,8;0,182793345;7,062697023
1;Platyrrhinus sp. 1;;14,2;13,8;120,4;27,6;0,117940199;6,326910299
3;Platyrrhinus sp. 2;M;15,5;15,4;153;30,8;0,10130719;6,200261438
4;Rhinophylla sp.;;7;11,6;86,2;23,2;0,090487239;6,244083527
4;S. lillium;M;19,1;NA;NA;NA;NA;NA
4;S. lillium;M;20,9;NA;NA;NA;NA;NA
4;S. lillium;M;21;NA;NA;NA;NA;NA
4;S. lillium;H;21;NA;NA;NA;NA;NA
2;S. lillium;M;NA;NA;NA;NA;NA;NA
4;S. lillium;;NA;16,7;159,48;33,4;NA;6,994983697
3;S. lillium;H;24,4;15;149,4;30;0,163319946;6,024096386
4;S. lillium;H;22,6;14,5;139,2;29;0,162356322;6,041666667
4;S. lillium;M;18,5;14,1;114;28,2;0,162280702;6,975789474
4;S. lillium;H;21,6;15,1;138,4;30,2;0,156069364;6,589884393
3;S. lillium;M;21,7;15,4;145,8;30,8;0,148834019;6,506447188
4;S. lillium;H;20,9;15,2;142;30,4;0,147183099;6,508169014
4;S. lillium;M;19,9;15,1;138,8;30,2;0,143371758;6,570893372
4;S. lillium;M;18,2;13,1;127,2;26,2;0,143081761;5,396540881
4;S. lillium;M;19,3;14,9;136,2;29,8;0,141703377;6,520117474
4;S. lillium;NA;21,5;14,8;154,4;29,6;0,139248705;5,674611399
4;S. lillium;M;19,3;14,6;138,8;29,2;0,139048991;6,142939481
4;S. lillium;H;18,7;NA;134,8;NA;0,138724036;NA
4;S. lillium;M;19,5;15,4;141,02;30,8;0,138278258;6,72698908
4;S. lillium;H;19,1;14,8;138,4;29,6;0,13800578;6,330635838
4;S. lillium;H;19,1;15,4;140,6;30,8;0,135846373;6,747083926
3;S. lillium;H;18,8;15,6;138,4;31,2;0,13583815;7,033526012
4;S. lillium;M;20;15,1;148,8;30,2;0,134408602;6,129301075
4;S. lillium;H;17,4;14,9;131,8;29,8;0,132018209;6,737784522
4;S. lillium;H;16,6;14,1;127,6;28,2;0,130094044;6,232288401
2;S. lillium;M;20,1;15,5;156;31;0,128846154;6,16025641
4;S. lillium;M;18;14,9;140,72;29,8;0,127913587;6,310687891
4;S. lillium;H;16,9;14,6;133,6;29,2;0,126497006;6,382035928
4;S. lillium;H;18,9;15,7;149,6;31,4;0,126336898;6,590641711
4;S. lillium;M;17,8;14,8;141,8;29,6;0,125528914;6,178843441
4;S. lillium;M;18,1;14,3;144,4;28,6;0,12534626;5,664542936
4;S. lillium;H;19,3;15,8;156,2;31,6;0,123559539;6,392829706
4;S. lillium;H;14,1;13,8;115,4;27,6;0,122183709;6,601039861
4;S. lillium;H;16;15,3;133,6;30,6;0,119760479;7,008682635
4;S. lillium;H;18,2;15,8;152,8;31,6;0,119109948;6,535078534
4;S. lillium;NA;20,6;17,1;179;34,2;0,115083799;6,534301676
4;S. lillium;H;16,3;14,4;143,8;28,8;0,113351878;5,768011127
3;S. lillium;H;17,8;16,1;161,8;32,2;0,110012361;6,40815822
4;S. lillium;M;14;15,8;148,44;31,6;0,094314201;6,727027755
4;S. lillium;M;12;13,9;133,2;27,8;0,09009009;5,802102102
4;S. lillium;M;8,5;15,1;137,6;30,2;NA;6,628197674
4;T. saurophila;M;28,3;18,9;254;37,8;0,111417323;5,625354331
5;T. saurophila;M;28,4;20;271,6;40;0,104565538;5,8910162
3;T. saurophila;M;25,6;20,6;289,8;41,2;0,088336784;5,857280883
5;U. bilobatum;M;16,7;15,5;141;31;0,118439716;6,815602837
3;U. bilobatum;M;15,5;15,5;140,6;31;0,110241821;6,834992888
4;U. bilobatum;H;17,8;15,8;163,4;31,6;0,108935129;6,111138311
3;U. bilobatum;H;16,2;15,6;154,4;31,2;0,10492228;6,304663212
4;U. bilobatum;M;16;16,4;168;32,8;0,095238095;6,403809524
3;Uroderma sp.;M;10,6;14,9;121,4;29,8;0,087314662;7,314991763
