site;Carollia.perspicillata;Carollia.castanea;Artibeus.lituratus;Artibeus.planirostris;Sturnira.lilium;Platyrrhinus.sp1;Platyrrhinus.sp2;Uroderma.bilobatum;Mesophylla.maconnelli;Desmodus.rotundus;Glossophaga.soricina;Anoura.sp;Phyllostomus.discolor;Phyllostomus.elongatus;Phyllostomus.hastatus ;Gardnerycteris.crenulatum;Tonatia.saurophila;Micronicteris.sp;Lophostoma.brasiliense;Rhinophylla.sp;S;forest.perc.05;grass.perc.05;ba.perce.05;mps.05;pssd.05;p.no.05;patchD.05;forest.perc.125;grass.perc.125;ba.perce.125;p.no.125;mps.125;pssd.125;patchD.125;forest.perc.2;grass.perc.2;ba.perce.2;p.no.2;mps.2;pssd.2;patchD.2;CWM.body_mass;CWM.wing_span;CWM.wing_loading;CWM.aspect_ratio;FRic ;FEve ;FDiv 
C. Real;6,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;16,86;60,60;22,54;0,31;1,65;42,00;0,53;14,08;44,25;41,66;339,00;0,20;0,85;0,69;16,36;36,36;47,29;844,00;0,23;1,13;0,67;32,74;37,59;12,83;6,37;NA;NA;NA
C. Real;7,00;0,00;0,00;15,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;16,86;60,60;22,54;0,31;1,65;42,00;0,53;14,08;44,25;41,66;339,00;0,20;0,85;0,69;16,36;36,36;47,29;844,00;0,23;1,13;0,67;36,21;39,00;13,23;6,40;0,84;0,33;0,88
C. Real;2,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;16,86;60,60;22,54;0,31;1,65;42,00;0,53;14,08;44,25;41,66;339,00;0,20;0,85;0,69;16,36;36,36;47,29;844,00;0,23;1,13;0,67;36,67;39,68;13,48;6,53;0,41;0,45;0,77
ICA;13,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;5,00;36,97;62,23;0,80;2,04;3,77;14,00;0,18;42,08;56,41;1,51;75,00;2,75;10,42;0,15;36,03;62,79;1,17;151,00;2,98;13,27;0,12;20,59;32,77;11,00;6,26;0,15;0,44;0,65
ICA;5,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;7,00;36,97;62,23;0,80;2,04;3,77;14,00;0,18;42,08;56,41;1,51;75,00;2,75;10,42;0,15;36,03;62,79;1,17;151,00;2,98;13,27;0,12;21,90;33,00;11,18;6,26;0,22;0,60;0,50
ICA;34,00;0,00;0,00;3,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;36,97;62,23;0,80;2,04;3,77;14,00;0,18;42,08;56,41;1,51;75,00;2,75;10,42;0,15;36,03;62,79;1,17;151,00;2,98;13,27;0,12;27,88;35,54;12,19;6,37;0,65;0,56;0,76
ICA;24,00;1,00;1,00;9,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;7,00;36,97;62,23;0,80;2,04;3,77;14,00;0,18;42,08;56,41;1,51;75,00;2,75;10,42;0,15;36,03;62,79;1,17;151,00;2,98;13,27;0,12;22,74;33,42;11,25;6,26;0,14;0,31;0,88
ICA;8,00;2,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;36,97;62,23;0,80;2,04;3,77;14,00;0,18;42,08;56,41;1,51;75,00;2,75;10,42;0,15;36,03;62,79;1,17;151,00;2,98;13,27;0,12;25,42;34,67;11,59;6,28;0,01;0,43;0,85
S. Antonio;3,00;0,00;2,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;39,56;5,30;55,14;0,73;3,39;41,00;0,52;39,99;5,61;54,40;100,00;1,94;15,16;0,20;28,56;12,78;58,66;341,00;1,03;10,39;0,27;45,73;42,74;14,83;6,56;0,39;0,32;0,76
S. Antonio;2,00;0,00;3,00;33,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;39,56;5,30;55,14;0,73;3,39;41,00;0,52;39,99;5,61;54,40;100,00;1,94;15,16;0,20;28,56;12,78;58,66;341,00;1,03;10,39;0,27;46,87;43,19;15,01;6,57;0,39;0,39;0,72
S. Antonio;2,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;39,56;5,30;55,14;0,73;3,39;41,00;0,52;39,99;5,61;54,40;100,00;1,94;15,16;0,20;28,56;12,78;58,66;341,00;1,03;10,39;0,27;46,33;43,33;14,88;6,60;0,02;0,32;0,67
S. Antonio;3,00;0,00;0,00;7,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;39,56;5,30;55,14;0,73;3,39;41,00;0,52;39,99;5,61;54,40;100,00;1,94;15,16;0,20;28,56;12,78;58,66;341,00;1,03;10,39;0,27;42,83;41,74;14,58;6,55;0,66;0,23;0,72
S. Antonio;1,00;0,00;1,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;39,56;5,30;55,14;0,73;3,39;41,00;0,52;39,99;5,61;54,40;100,00;1,94;15,16;0,20;28,56;12,78;58,66;341,00;1,03;10,39;0,27;47,28;43,80;15,09;6,62;0,41;0,53;0,57
